fips,2015,2016,2017,2018
01001,1518409.0,1526310.0,1422078.0,1483414.0
01003,5345363.0,5496105.0,5525882.0,5774289.0
01005,756590.0,742810.0,745625.0,787425.0
01007,358372.0,357831.0,353859.0,364197.0
01009,824934.0,783480.0,813934.0,849114.0
01011,224849.0,246072.0,233531.0,244183.0
01013,570113.0,554471.0,554848.0,570686.0
01015,3810823.0,3862408.0,3861148.0,3950436.0
01017,1793988.0,1953597.0,1938158.0,1941217.0
01019,484118.0,457675.0,461223.0,498013.0
01021,799902.0,798726.0,806179.0,837887.0
01023,531136.0,526604.0,505034.0,547773.0
01025,806072.0,793755.0,771341.0,784519.0
01027,320213.0,315873.0,323580.0,339246.0
01029,304126.0,295526.0,284999.0,294019.0
01031,1349456.0,1375548.0,1410365.0,1470262.0
01033,2814138.0,2778239.0,2708633.0,2755838.0
01035,466177.0,464317.0,456696.0,449646.0
01037,164838.0,168598.0,167226.0,177103.0
01039,1126948.0,1120631.0,1134066.0,1146899.0
01041,427983.0,403588.0,403510.0,408219.0
01043,2479048.0,2473561.0,2491025.0,2548547.0
01045,2405727.0,2423899.0,2459148.0,2505314.0
01047,1186330.0,1196803.0,1156152.0,1174931.0
01049,1728455.0,1621227.0,1688189.0,1768414.0
01051,1614849.0,1639742.0,1653310.0,1694188.0
01053,1152718.0,1162771.0,1163160.0,1172006.0
01055,2741934.0,2742949.0,2746645.0,2803470.0
01057,334480.0,325660.0,327225.0,331837.0
01059,829741.0,802754.0,849068.0,886031.0
01061,505054.0,513876.0,496140.0,519624.0
01063,255456.0,245437.0,225323.0,235854.0
01065,280598.0,291003.0,285818.0,280041.0
01067,312287.0,308340.0,320602.0,327713.0
01069,4190752.0,4221379.0,4238912.0,4349489.0
01071,1420121.0,1317412.0,1300797.0,1319359.0
01073,39503092.0,39475772.0,40567288.0,41774355.0
01075,291779.0,288955.0,289482.0,296054.0
01077,2445200.0,2402567.0,2395624.0,2467086.0
01079,556342.0,518065.0,517319.0,563208.0
01081,5457975.0,5702179.0,5897678.0,6013577.0
01083,3149394.0,3223504.0,3286233.0,3288507.0
01085,414680.0,410956.0,415054.0,413334.0
01087,437082.0,437693.0,427667.0,437305.0
01089,19888881.0,20314558.0,20825274.0,21707550.0
01091,673931.0,678430.0,650660.0,657507.0
01093,779032.0,759279.0,773143.0,804250.0
01095,2830730.0,2864795.0,2943251.0,3061736.0
01097,17548197.0,17901624.0,17642633.0,17882906.0
01099,611360.0,610770.0,610310.0,618262.0
01101,12294898.0,12473078.0,12457671.0,12633330.0
01103,4665658.0,4808714.0,4827146.0,4980085.0
01105,203560.0,198292.0,191859.0,183432.0
01107,407990.0,399004.0,389315.0,390766.0
01109,1305018.0,1327688.0,1315469.0,1309102.0
01111,438364.0,415983.0,418763.0,427804.0
01113,1417799.0,1437492.0,1427776.0,1472862.0
01117,1666235.0,1694102.0,1718514.0,1764952.0
01115,9434367.0,9427502.0,9929586.0,10317323.0
01119,353400.0,359431.0,335668.0,326706.0
01121,2820169.0,2795690.0,2745857.0,2840194.0
01123,1189686.0,1222578.0,1146322.0,1186139.0
01125,8593630.0,8509273.0,8775197.0,9042556.0
01127,1942586.0,1871326.0,1942619.0,2058416.0
01129,727863.0,778980.0,775076.0,799290.0
01131,372273.0,379381.0,373667.0,378418.0
01133,629762.0,623036.0,650751.0,667455.0
02013,181353.0,194592.0,201690.0,201612.0
02016,371005.0,367795.0,347146.0,353175.0
02020,20856627.0,20413792.0,19985366.0,20329942.0
02050,611875.0,606090.0,608355.0,625190.0
02060,113052.0,116004.0,114238.0,130341.0
02068,243176.0,233441.0,234794.0,237263.0
02070,249674.0,243808.0,242542.0,248432.0
02090,5599363.0,5572193.0,5582087.0,5654089.0
02100,93788.0,91604.0,95983.0,98959.0
02105,85838.0,81045.0,81947.0,83216.0
02110,2221936.0,2237416.0,2294784.0,2298214.0
02122,2901418.0,2833117.0,2788536.0,2808539.0
02130,818853.0,797981.0,791585.0,800724.0
02150,767476.0,713809.0,711871.0,715043.0
02158,145175.0,146585.0,142129.0,144996.0
02164,79081.0,76957.0,84208.0,88124.0
02170,2288760.0,2260538.0,2207986.0,2266408.0
02180,412660.0,380519.0,392868.0,396694.0
02185,11130682.0,10567213.0,11231169.0,10469543.0
02188,577594.0,591812.0,680814.0,696765.0
02195,195546.0,185565.0,175901.0,172178.0
02201,222437.0,229481.0,222055.0,219255.0
02220,474614.0,430768.0,429859.0,443526.0
02230,89024.0,95080.0,95733.0,95346.0
02240,558749.0,594212.0,640754.0,637943.0
02261,2174869.0,2157680.0,2173189.0,2331614.0
02275,96477.0,100629.0,92788.0,94120.0
02282,34590.0,28345.0,27057.0,28420.0
02290,247510.0,260813.0,258303.0,273529.0
04001,2502406.0,2509130.0,2544096.0,2619469.0
04003,4205478.0,4315749.0,4259736.0,4404134.0
04005,6251840.0,6396139.0,6753461.0,6770442.0
04007,1975267.0,1895553.0,1979124.0,1985337.0
04009,838174.0,971213.0,1024616.0,1097980.0
04011,1603588.0,1447670.0,1764250.0,1771158.0
04012,554228.0,582158.0,582552.0,602409.0
04013,197556651.0,204282531.0,211308745.0,220789933.0
04015,4700479.0,4841032.0,4900560.0,5068013.0
04017,3277796.0,3227185.0,3380361.0,3535546.0
04019,36108903.0,37134412.0,38636977.0,40011352.0
04021,6467645.0,6590811.0,6571381.0,6936698.0
04023,1538667.0,1544234.0,1620780.0,1701223.0
04025,5837276.0,6038037.0,6263132.0,6481866.0
04027,6776399.0,7370372.0,7783381.0,7874389.0
05001,1004316.0,1064308.0,1011497.0,1028895.0
05003,893843.0,910844.0,896476.0,907876.0
05005,1101296.0,1094691.0,1102545.0,1131278.0
05007,11874454.0,12095992.0,12846262.0,13245065.0
05009,1106264.0,1113842.0,1117118.0,1150136.0
05011,321127.0,313284.0,323897.0,330283.0
05013,314529.0,305565.0,326112.0,344894.0
05015,756728.0,723423.0,784947.0,788311.0
05017,234007.0,253168.0,254641.0,244098.0
05019,718661.0,723399.0,730698.0,734017.0
05021,299759.0,289400.0,313160.0,304763.0
05023,1099560.0,1009797.0,982503.0,890222.0
05025,160765.0,156902.0,163377.0,169834.0
05027,883285.0,843077.0,831485.0,828515.0
05029,1154642.0,1085068.0,1025383.0,962556.0
05031,3821826.0,3860116.0,3922075.0,4031319.0
05033,1528602.0,1517580.0,1542213.0,1567342.0
05035,1493676.0,1464223.0,1483554.0,1481505.0
05037,437090.0,435801.0,439065.0,440941.0
05039,195291.0,194016.0,195576.0,192320.0
05041,505433.0,536213.0,495296.0,498045.0
05043,570890.0,589264.0,571341.0,574589.0
05045,3720455.0,3679979.0,3625171.0,3683719.0
05047,485328.0,455437.0,471660.0,479936.0
05049,199447.0,179951.0,180330.0,187790.0
05051,2937538.0,2942846.0,3003768.0,3051825.0
05053,375292.0,372803.0,378549.0,390516.0
05055,1316996.0,1283954.0,1315511.0,1342823.0
05057,817269.0,818374.0,883781.0,877218.0
05059,823538.0,893297.0,873769.0,863609.0
05061,580517.0,569038.0,593606.0,597565.0
05063,1489901.0,1572081.0,1582135.0,1670702.0
05065,291945.0,280613.0,267905.0,273211.0
05067,528349.0,533677.0,520962.0,528213.0
05069,2917025.0,2935141.0,2931545.0,2917078.0
05071,692708.0,688151.0,703176.0,698286.0
05073,197146.0,201252.0,182376.0,174464.0
05075,377185.0,401118.0,419851.0,444009.0
05077,186225.0,178330.0,170645.0,178058.0
05079,263976.0,278624.0,250313.0,261122.0
05081,406071.0,396547.0,384516.0,378858.0
05083,628938.0,605629.0,614896.0,600829.0
05085,1129147.0,1120170.0,1145735.0,1159033.0
05087,407009.0,390283.0,405857.0,411807.0
05089,550764.0,486098.0,486441.0,494246.0
05091,1116700.0,1094405.0,1075969.0,1102278.0
