state,county,2015,2016,2017,2018,fips
Alabama,,189339144,190703043,193023933,198435935,
Alabama,Autauga,1518409,1526310,1422078,1483414,
Alabama,Baldwin,5345363,5496105,5525882,5774289,
Alabama,Barbour,756590,742810,745625,787425,
Alabama,Bibb,358372,357831,353859,364197,
Alabama,Blount,824934,783480,813934,849114,
Alabama,Bullock,224849,246072,233531,244183,
Alabama,Butler,570113,554471,554848,570686,
Alabama,Calhoun,3810823,3862408,3861148,3950436,
Alabama,Chambers,1793988,1953597,1938158,1941217,
Alabama,Cherokee,484118,457675,461223,498013,
Alabama,Chilton,799902,798726,806179,837887,
Alabama,Choctaw,531136,526604,505034,547773,
Alabama,Clarke,806072,793755,771341,784519,
Alabama,Clay,320213,315873,323580,339246,
Alabama,Cleburne,304126,295526,284999,294019,
Alabama,Coffee,1349456,1375548,1410365,1470262,
Alabama,Colbert,2814138,2778239,2708633,2755838,
Alabama,Conecuh,466177,464317,456696,449646,
Alabama,Coosa,164838,168598,167226,177103,
Alabama,Covington,1126948,1120631,1134066,1146899,
Alabama,Crenshaw,427983,403588,403510,408219,
Alabama,Cullman,2479048,2473561,2491025,2548547,
Alabama,Dale,2405727,2423899,2459148,2505314,
Alabama,Dallas,1186330,1196803,1156152,1174931,
Alabama,DeKalb,1728455,1621227,1688189,1768414,
Alabama,Elmore,1614849,1639742,1653310,1694188,
Alabama,Escambia,1152718,1162771,1163160,1172006,
Alabama,Etowah,2741934,2742949,2746645,2803470,
Alabama,Fayette,334480,325660,327225,331837,
Alabama,Franklin,829741,802754,849068,886031,
Alabama,Geneva,505054,513876,496140,519624,
Alabama,Greene,255456,245437,225323,235854,
Alabama,Hale,280598,291003,285818,280041,
Alabama,Henry,312287,308340,320602,327713,
Alabama,Houston,4190752,4221379,4238912,4349489,
Alabama,Jackson,1420121,1317412,1300797,1319359,
Alabama,Jefferson,39503092,39475772,40567288,41774355,
Alabama,Lamar,291779,288955,289482,296054,
Alabama,Lauderdale,2445200,2402567,2395624,2467086,
Alabama,Lawrence,556342,518065,517319,563208,
Alabama,Lee,5457975,5702179,5897678,6013577,
Alabama,Limestone,3149394,3223504,3286233,3288507,
Alabama,Lowndes,414680,410956,415054,413334,
Alabama,Macon,437082,437693,427667,437305,
Alabama,Madison,19888881,20314558,20825274,21707550,
Alabama,Marengo,673931,678430,650660,657507,
Alabama,Marion,779032,759279,773143,804250,
Alabama,Marshall,2830730,2864795,2943251,3061736,
Alabama,Mobile,17548197,17901624,17642633,17882906,
Alabama,Monroe,611360,610770,610310,618262,
Alabama,Montgomery,12294898,12473078,12457671,12633330,
Alabama,Morgan,4665658,4808714,4827146,4980085,
Alabama,Perry,203560,198292,191859,183432,
Alabama,Pickens,407990,399004,389315,390766,
Alabama,Pike,1305018,1327688,1315469,1309102,
Alabama,Randolph,438364,415983,418763,427804,
Alabama,Russell,1417799,1437492,1427776,1472862,
Alabama,St. Clair,1666235,1694102,1718514,1764952,
Alabama,Shelby,9434367,9427502,9929586,10317323,
Alabama,Sumter,353400,359431,335668,326706,
Alabama,Talladega,2820169,2795690,2745857,2840194,
Alabama,Tallapoosa,1189686,1222578,1146322,1186139,
