,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
01001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,9.0,11.0,11.0,15.0,15.0,17.0,17.0,17.0,19.0,19.0,21.0,25.0,25.0,26.0,26.0,29.0,31.0,31.0,35.0,35.0,44.0,58.0,58.0,86.0,86.0,105.0,130.0,130.0,152.0,152.0,173.0,193.0,193.0,205.0,205.0,235.0,256.0,256.0,275.0,275.0,293.0,313.0,313.0,326.0,326.0,336.0,348.0,348.0,364.0,364.0,367.0,375.0,375.0,384.0,384.0,392.0,402.0,402.0,407.0,,
01005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,9.0,9.0,11.0,11.0,15.0,15.0,17.0,17.0,17.0,17.0,19.0,19.0,21.0,21.0,25.0,25.0,26.0,26.0,29.0,29.0,31.0,31.0,35.0,35.0,44.0,44.0,58.0,58.0,86.0,86.0,105.0,105.0,130.0,130.0,152.0,152.0,173.0,173.0,193.0,193.0,205.0,205.0,235.0,235.0,256.0,256.0,275.0,275.0,293.0,293.0,313.0,313.0,326.0,326.0,336.0,336.0,348.0,348.0,364.0,364.0
01017,4.0,4.0,4.0,5.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,11.0,11.0,11.0,13.0,15.0,16.0,16.0,22.0,23.0,23.0,24.0,24.0,29.0,30.0,32.0,33.0,33.0,33.0,35.0,37.0,38.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
